"city","population"
"Plasselb",1020
"Rechthalten",1084
"St. Antoni",1925
"St. Silvester",942
"St. Ursen",1252
"Schmitten (FR)",3949
"Tafers",3097
"Tentlingen",1228
"Ueberstorf",2395
"Wünnewil-Flamatt",5326
"Zumholz",401
"Attalens",3100
"Bossonnens",1390
"Châtel-Saint-Denis",6090
"Granges (Veveyse)",843
"Remaufens",973
"Saint-Martin (FR)",985
"Semsales",1344
"Le Flon",1091
"La Verrerie",1136
,0
"Egerkingen",3294
"Härkingen",1419
"Kestenholz",1719
"Neuendorf",1949
"Niederbuchsiten",979
"Oberbuchsiten",1964
"Oensingen",5695
"Wolfwil",2035
"Aedermannsdorf",555
"Balsthal",5776
"Gänsbrunnen",99
"Herbetswil",555
"Holderbank (SO)",635
"Laupersdorf",1682
"Matzendorf",1291
"Mümliswil-Ramiswil",2511
"Welschenrohr",1116
"Biezwil",323
"Lüterkofen-Ichertswil",723
"Lüterswil-Gächliwil",330
"Messen",1401
"Schnottwil",1055
"Unterramsern",213
"Lüsslingen-Nennigkofen",1008
"Buchegg",2507
"Bättwil",1186
"Büren (SO)",965
"Dornach",6325
"Gempen",852
"Hochwald",1293
"Hofstetten-Flüh",3114
"Metzerlen-Mariastein",921
"Nuglar-St. Pantaleon",1474
"Rodersdorf",1274
"Seewen",998
"Witterswil",1387
"Hauenstein-Ifenthal",316
"Kienberg",506
"Lostorf",3864
"Niedergösgen",3742
"Obergösgen",2132
"Rohr (SO)",99
"Stüsslingen",1017
"Trimbach",6309
"Winznau",1766
"Wisen (SO)",419
"Erlinsbach (SO)",3263
"Aeschi (SO)",1213
"Biberist",8125
"Bolken",564
"Deitingen",2233
"Derendingen",6058
"Etziken",769
"Gerlafingen",4888
"Halten",861
"Horriwil",839
"Hüniken",92
"Kriegstetten",1259
"Lohn-Ammannsegg",2634
"Luterbach",3374
"Obergerlafingen",1116
"Oekingen",771
"Recherswil",1730
"Subingen",2995
"Zuchwil",8715
"Drei Höfe",726
"Balm bei Günsberg",194
"Bellach",5151
"Bettlach",4834
"Feldbrunnen-St. Niklaus",919
"Flumenthal",949
"Grenchen",16173
"Günsberg",1142
"Hubersdorf",734
"Kammersrohr",33
"Langendorf",3756
"Lommiswil",1434
"Oberdorf (SO)",1651
"Riedholz",2193
"Rüttenen",1443
"Selzach",3160
"Boningen",730
"Däniken",2769
"Dulliken",4725
"Eppenberg-Wöschnau",316
"Fulenbach",1676
"Gretzenbach",2463
"Gunzgen",1636
"Hägendorf",4684
"Kappel (SO)",2989
"Olten",17133
"Rickenbach (SO)",883
"Schönenwerd",4826
"Starrkirch-Wil",1631
"Walterswil (SO)",710
"Wangen bei Olten",4881
"Solothurn",16465
"Bärschwil",819
"Beinwil (SO)",282
"Breitenbach",3573
"Büsserach",2052
"Erschwil",893
"Fehren",631
"Grindel",471
"Himmelried",925
"Kleinlützel",1249
"Meltingen",618
"Nunningen",1851
"Zullwil",618
"Basel",165566
"Bettingen",1160
"Riehen",20699
"Aesch (BL)",10220
"Allschwil",19898
"Arlesheim",9073
"Biel-Benken",3182
"Binningen",14817
"Birsfelden",10277
"Bottmingen",6186
"Ettingen",4887
"Münchenstein",11715
"Muttenz",17339
"Oberwil (BL)",10721
"Pfeffingen",2210
"Reinach (BL)",18661
"Schönenbuch",1416
"Therwil",9784
"Blauen",675
"Brislach",1610
"Burg im Leimental",256
"Dittingen",753
"Duggingen",1421
"Grellingen",1777
"Laufen",5322
"Liesberg",1170
"Nenzlingen",427
"Roggenburg",285
"Röschenz",1838
"Wahlen",1343
"Zwingen",2180
"Arisdorf",1612
"Augst",840
"Bubendorf",4393
"Frenkendorf",6296
"Füllinsdorf",4311
"Giebenach",1029
"Hersberg",316
"Lausen",4868
"Liestal",13708
"Lupsingen",1359
"Pratteln",15282
"Ramlinsburg",672
"Seltisberg",1289
"Ziefen",1572
"Anwil",580
"Böckten",777
"Buckten",686
"Buus",955
"Diepflingen",645
"Gelterkinden",5733
"Häfelfingen",280
"Hemmiken",272
"Itingen",2018
"Känerkinden",479
"Kilchberg (BL)",156
"Läufelfingen",1293
"Maisprach",929
"Nusshof",249
"Oltingen",475
"Ormalingen",1976
"Rickenbach (BL)",575
"Rothenfluh",777
"Rümlingen",368
"Rünenberg",764
"Sissach",6256
"Tecknau",856
"Tenniken",867
"Thürnen",1353
"Wenslingen",699
"Wintersingen",615
"Wittinsburg",412
"Zeglingen",454
"Zunzgen",2492
"Arboldswil",529
"Bennwil",641
"Bretzwil",765
"Diegten",1555
"Eptingen",515
"Hölstein",2363
"Lampenberg",517
"Langenbruck",952
"Lauwil",322
"Liedertswil",166
"Niederdorf",1748
"Oberdorf (BL)",2335
"Reigoldswil",1545
"Titterten",412
"Waldenburg",1191
"Gächlingen",779
"Löhningen",1376
"Neunkirch",1997
"Büttenhardt",356
"Dörflingen",907
"Lohn (SH)",704
"Stetten (SH)",1266
"Thayngen",5034
"Bargen (SH)",283
"Beringen",4016
"Buchberg",837
"Merishausen",820
"Neuhausen am Rheinfall",10220
"Rüdlingen",755
"Schaffhausen",35413
"Beggingen",512
"Schleitheim",1698
"Siblingen",797
"Buch (SH)",329
"Hemishofen",431
"Ramsen",1345
"Stein am Rhein",3286
"Hallau",2065
"Oberhallau",431
"Trasadingen",583
"Wilchingen",1715
"Herisau",15222
"Hundwil",974
"Schönengrund",492
"Schwellbrunn",1476
"Stein (AR)",1357
"Urnäsch",2241
"Waldstatt",1778
"Bühler",1705
"Gais",3018
"Speicher",4183
"Teufen (AR)",5975
"Trogen",1679
"Grub (AR)",1021
"Heiden",4012
"Lutzenberg",1254
"Rehetobel",1709
"Reute (AR)",673
"Wald (AR)",843
"Walzenhausen",2106
"Wolfhalden",1720
"Appenzell",5661
"Gonten",1452
"Rüte",3441
"Schlatt-Haslen",1134
"Schwende",2130
"Oberegg",1899
"Häggenschwil",1214
"Muolen",1178
"Saint Gallen",74111
"Wittenbach",9572
"Berg (SG)",835
"Eggersriet",2238
"Goldach",9151
"Mörschwil",3576
"Rorschach",8918
"Rorschacherberg",7027
"Steinach",3402
"Tübach",1286
"Untereggen",1039
"Au (SG)",7097
"Balgach",4530
"Berneck",3763
"Diepoldsau",5957
"Rheineck",3241
"St. Margrethen",5742
"Thal",6351
"Widnau",8864
"Altstätten",11075
"Eichberg",1508
"Marbach (SG)",2074
"Oberriet (SG)",8439
"Rebstein",4390
"Rüthi (SG)",2112
"Buchs (SG)",11536
"Gams",3180
"Grabs",6943
"Sennwald",4949
"Sevelen",4676
"Wartau",5163
"Bad Ragaz",5590
"Flums",4889
"Mels",8537
"Pfäfers",1550
"Quarten",2812
"Sargans",5779
"Vilters-Wangs",4488
"Walenstadt",5432
"Amden",1695
"Benken (SG)",2787
"Kaltbrunn",4546
"Schänis",3620
"Weesen",1591
"Schmerikon",3422
"Uznach",5998
"Rapperswil-Jona",26354
"Gommiswald",4896
"Eschenbach (SG)",8760
"Ebnat-Kappel",4945
"Wildhaus-Alt St. Johann",2642
"Nesslau",3665
"Hemberg",925
"Lichtensteig",1924
"Oberhelfenschwil",1330
"Neckertal",4048
"Wattwil",8382
"Kirchberg (SG)",8416
"Lütisburg",1427
"Mosnang",2840
"Bütschwil-Ganterschwil",4540
"Degersheim",3962
"Flawil",10126
"Jonschwil",3720
"Oberuzwil",6011
"Uzwil",12726
"Niederbüren",1460
"Niederhelfenschwil",2926
"Oberbüren",4172
"Zuzwil (SG)",4720
"Wil (SG)",22985
"Andwil (SG)",1887
"Gaiserwald",8018
"Gossau (SG)",17941
"Waldkirch",3439
"Alvaschein",142
"Mon",97
"Mutten",80
"Stierva",140
"Tiefencastel",256
"Vaz/Obervaz",2617
"Alvaneu",406
"Brienz/Brinzauls",128
"Lantsch/Lenz",543
"Schmitten (GR)",249
"Surava",200
"Bergün/Bravuogn",449
"Filisur",461
"Bivio",200
"Cunter",248
"Marmorera",35
"Mulegns",27
"Riom-Parsonz",297
"Salouf",212
"Savognin",1011
"Sur",81
"Tinizong-Rona",333
"Brusio",1115
"Poschiavo",3575
"Falera",583
"Laax",1411
"Sagogn",676
"Schluein",560
"St. Martin",33
"Vals",986
"Andiast",213
"Obersaxen",825
"Waltensburg/Vuorz",349
"Mundaun",303
"Lumnezia",2139
"Ilanz/Glion",4573
"Almens",221
"Fürstenau",367
"Paspels",468
"Pratval",242
"Rodels",277
"Rothenbrunnen",310
"Scharans",818
"Sils im Domleschg",897
"Cazis",2121
"Flerden",216
"Masein",427
"Thusis",2937
"Tschappina",137
"Urmein",116
"Tomils",725
"Safiental",921
"Avers",171
"Hinterrhein",66
"Nufenen",157
"Splügen",406
"Sufers",121
"Andeer",883
"Casti-Wergenstein",49
"Donat",213
"Lohn (GR)",42
"Mathon",47
"Rongellen",56
"Zillis-Reischen",424
"Ferrera",89
"Bonaduz",2912
"Domat/Ems",7448
"Rhäzüns",1344
"Felsberg",2361
"Flims",2643
"Tamins",1222
"Trin",1251
"Ardez",426
"Guarda",161
"Lavin",233
"Susch",214
"Tarasp",370
"Zernez",1150
"Samnaun",793
"Ftan",532
"Scuol",2333
"Sent",903
"Valsot",914
"Bever",636
"Celerina/Schlarigna",1509
"Madulain",234
"Pontresina",2080
"La Punt-Chamues-ch",759
"Samedan",2982
"St. Moritz",5147
"S-chanf",748
"Sils im Engadin/Segl",773
"Silvaplana",1012
"Zuoz",1277
"Bregaglia",1576
"Arvigo",86
"Braggio",51
"Buseno",94
"Castaneda",236
"Cauco",35
"Rossa",120
"Santa Maria in Calanca",117
"Selma",33
"Lostallo",725
"Mesocco",1260
"Soazza",352
"Cama",535
"Grono",987
"Leggia",132
"Roveredo (GR)",2489
"San Vittore",742
"Verdabbio",152
"Val Müstair",1545
"Davos",11156
"Fideris",597
"Furna",186
"Jenaz",1141
"Klosters-Serneus",3909
"Conters im Prättigau",225
"Küblis",842
